"","Date","Latitude","Longitude","Acres","County","AgencyCode","Source","DDLat","DDLon","ORIG_OID"
"847",2005-06-14,21.9684391,-159.665863,10,"Kauai","XX112","DOFAW","21.96843910N","159.66586300W",187
"848",2011-07-03,21.9528313,-159.6656952,0.01,"Kauai","KA371","Kauai County","21.95283130N","159.66569520W",188
"849",2008-01-03,21.9509945,-159.6656799,0.2,"Kauai","KA373","Kauai County","21.95099450N","159.66567990W",189
"850",2008-01-26,21.9508114,-159.6656799,0.1,"Kauai","KA372","Kauai County","21.95081140N","159.66567990W",190
"851",2008-04-12,21.9509258,-159.6656342,0.1,"Kauai","KA374","Kauai County","21.95092580N","159.66563420W",191
"852",2016-10-30,21.95085,-159.665622,0.1,"Kauai","2016_KA_1604953"," ","21.95085000N","159.66562200W",192
"853",2008-01-28,21.9505024,-159.6656036,0.2,"Kauai","KA375","Kauai County","21.95050240N","159.66560360W",193
"854",2011-08-30,21.9496746,-159.665451,0.1,"Kauai","KA376","Kauai County","21.94967460N","159.66545100W",194
"855",2008-02-20,21.9496937,-159.6654205,0.2,"Kauai","KA377","Kauai County","21.94969370N","159.66542050W",195
"856",2008-02-22,21.9496937,-159.6654205,0.1,"Kauai","KA378","Kauai County","21.94969370N","159.66542050W",196
"857",2020-09-17,21.963168,-159.665349,0.01,"Kauai","2020_KA_2004163"," ","21.96316800N","159.66534900W",197
"858",2011-12-22,21.949667,-159.6653137,0.1,"Kauai","KA379","Kauai County","21.94966700N","159.66531370W",198
"859",2009-09-11,21.9496937,-159.6652985,0.02,"Kauai","KA380","Kauai County","21.94969370N","159.66529850W",199
"860",2016-03-02,21.950517,-159.665269,0.1,"Kauai","2016_KA_1601051"," ","21.95051700N","159.66526900W",200
"861",2005-09-24,21.9503441,-159.6652679,1,"Kauai","KA44","Kauai County","21.95034410N","159.66526790W",201
"862",2008-04-02,21.9491444,-159.6652679,0.2,"Kauai","KA381","Kauai County","21.94914440N","159.66526790W",202
"863",2009-09-02,21.9510441,-159.6652527,0.01,"Kauai","KA382","Kauai County","21.95104410N","159.66525270W",203
"864",2007-02-18,21.9503555,-159.6652069,0.1,"Kauai","KA383","Kauai County","21.95035550N","159.66520690W",204
"865",2018-08-07,21.949187,-159.665197,4.8,"Kauai","2018_KA_1803855"," ","21.94918700N","159.66519700W",205
"866",2005-06-14,21.9682522,-159.6650848,80,"Kauai","KA45","DOFAW","21.96825220N","159.66508480W",206
"867",2005-06-14,21.9682522,-159.6650848,70,"Kauai","KA46","DOFAW","21.96825220N","159.66508480W",207
"868",2011-08-04,21.9492111,-159.6650696,0.05,"Kauai","KA384","Kauai County","21.94921110N","159.66506960W",208
"869",2007-05-24,21.9535027,-159.6650085,2,"Kauai","KA47","Kauai County","21.95350270N","159.66500850W",209
"870",2020-08-23,21.962499,-159.665,0.5,"Kauai","2020_KA_2003759"," ","21.96249900N","159.66500000W",210
"871",2017-05-14,21.969503,-159.66495,750,"Kauai","2017_KA_1702446"," ","21.96950300N","159.66495000W",211
"872",2008-10-28,21.9504509,-159.6648712,0.1,"Kauai","KA385","Kauai County","21.95045090N","159.66487120W",212
"873",2004-03-07,22.1220798,-159.664566,0.1,"Kauai","XX102","DOFAW","22.12207980N","159.66456600W",213
"874",2019-05-23,22.070788,-159.664362,0.01,"Kauai","2019_KA_1902683"," ","22.07078800N","159.66436200W",214
"875",2008-01-07,21.9485588,-159.6643524,0.1,"Kauai","KA387","Kauai County","21.94855880N","159.66435240W",215
"876",2008-01-20,21.9485588,-159.6643524,0.1,"Kauai","KA388","Kauai County","21.94855880N","159.66435240W",216
"877",2012-08-16,22.06277144,-159.6643394,10,"Kauai","2012_KA_1203430"," ","22.06277144N","159.66433943W",217
"878",2014-06-22,21.9515,-159.6642,0.02,"Kauai","2014_KA_1402754"," ","21.95150000N","159.66420000W",218
"879",2005-03-22,21.9527855,-159.664093,0.1,"Kauai","KA48","Kauai County","21.95278550N","159.66409300W",219
"880",2019-02-20,21.968754,-159.664072,0.01,"Kauai","2019_KA_1900972"," ","21.96875400N","159.66407200W",220
"881",2008-10-04,21.9480743,-159.6640472,0.2,"Kauai","KA389","Kauai County","21.94807430N","159.66404720W",221
"882",2020-09-04,21.977489,-159.664025,0.05,"Kauai","2020_KA_2003942"," ","21.97748900N","159.66402500W",222
"883",2005-06-15,21.9687023,-159.6639404,5,"Kauai","KA49","Kauai County","21.96870230N","159.66394040W",223
"884",2004-07-03,21.9656391,-159.6638947,0.5,"Kauai","XX107","DOFAW","21.96563910N","159.66389470W",224
"885",2007-12-22,21.9528522,-159.6634674,0.3,"Kauai","KA392","Kauai County","21.95285220N","159.66346740W",225
"886",2007-08-30,21.9520302,-159.6634674,0.1,"Kauai","KA393","Kauai County","21.95203020N","159.66346740W",226
"887",2020-06-03,21.952892,-159.663262,0.15,"Kauai","2020_KA_2002564"," ","21.95289200N","159.66326200W",228
"888",2005-09-06,21.9519787,-159.6631775,1,"Kauai","KA50","Kauai County","21.95197870N","159.66317750W",229
"889",2007-11-23,22.0434608,-159.6627502,0.1,"Kauai","XX141","DOFAW","22.04346080N","159.66275020W",230
"890",2005-12-30,22.0448284,-159.6625824,0.1,"Kauai","KA4","Kauai County","22.04482840N","159.66258240W",231
"891",2005-10-11,22.0710964,-159.6622009,0.1,"Kauai","KA51","Kauai County","22.07109640N","159.66220090W",232
"892",2009-05-15,22.1177635,-159.661911,0.2,"Kauai","KA396","Kauai County","22.11776350N","159.66191100W",233
"893",2017-01-29,21.96017666,-159.6618224,0.01,"Kauai","2017_KA_1700556"," ","21.96017666N","159.66182244W",234
"894",2010-07-09,21.9461632,-159.6618042,0.25,"Kauai","KA397","Kauai County","21.94616320N","159.66180420W",235
"895",2009-06-15,21.9519196,-159.6617584,0.25,"Kauai","KA398","Kauai County","21.95191960N","159.66175840W",236
"896",2017-01-30,21.959856,-159.661727,0.01,"Kauai","2017_KA_1700575"," ","21.95985600N","159.66172700W",237
"897",2008-09-30,22.0713577,-159.6616821,0.1,"Kauai","KA399","Kauai County","22.07135770N","159.66168210W",238
"898",2006-07-05,21.9613991,-159.6611176,1,"Kauai","KA52","Kauai County","21.96139910N","159.66111760W",239
"899",2005-09-14,22.0529594,-159.6607056,0.1,"Kauai","XX116","DOFAW","22.05295940N","159.66070560W",240
"900",2011-06-01,21.9580936,-159.6606293,0.01,"Kauai","KA53","Kauai County","21.95809360N","159.66062930W",241
"901",2001-08-31,21.97332,-159.6604156,0.3,"Kauai","XX78","DOFAW","21.97332000N","159.66041560W",242
"902",2005-08-29,21.963192,-159.6603546,0.5,"Kauai","KA54","Kauai County","21.96319200N","159.66035460W",243
"903",2013-05-27,21.95007506,-159.6601626,0.01,"Kauai","2013_KA_1302384"," ","21.95007506N","159.66016261W",244
"904",2012-07-14,21.95007622,-159.6601604,0.05,"Kauai","2012_KA_1202960"," ","21.95007622N","159.66016039W",245
"905",2017-08-03,22.01003875,-159.6601035,0.1,"Kauai","2017_KA_1703952"," ","22.01003875N","159.66010353W",246
"906",2015-03-22,21.98002792,-159.6600551,200,"Kauai","2015_KA_1501406"," ","21.98002792N","159.66005514W",247
"907",2017-01-16,22.01012833,-159.6600536,0.01,"Kauai","2017_KA_1700324"," ","22.01012833N","159.66005358W",248
"908",2016-02-08,21.95004689,-159.6600387,0.01,"Kauai","2016_KA_1600655"," ","21.95004689N","159.66003872W",249
"909",2017-05-31,21.96013417,-159.6600095,0.01,"Kauai","2017_KA_1702792"," ","21.96013417N","159.66000953W",250
"910",2011-07-13,21.9642811,-159.6596985,0.01,"Kauai","KA55","Kauai County","21.96428110N","159.65969850W",251
"911",2005-03-18,21.9629326,-159.6591034,0.1,"Kauai","KA56","Kauai County","21.96293260N","159.65910340W",252
"912",2011-08-24,21.9636383,-159.6589661,0,"Kauai","KA57","Kauai County","21.96363830N","159.65896610W",253
"913",2005-12-26,22.0508575,-159.6585846,0.1,"Kauai","KA58","Kauai County","22.05085750N","159.65858460W",254
"914",2011-10-12,21.965517,-159.6582031,0.1,"Kauai","KA60","Kauai County","21.96551700N","159.65820310W",255
"915",2005-12-31,21.9618778,-159.6582031,0.1,"Kauai","KA61","Kauai County","21.96187780N","159.65820310W",256
"916",2014-11-17,22.17217042,-159.6579027,0.2,"Kauai","2014_KA_1405090"," ","22.17217043N","159.65790269W",257
"917",2012-07-25,21.96444602,-159.6574305,0.01,"Kauai","2012_KA_1203131"," ","21.96444602N","159.65743047W",258
"918",2018-12-30,21.96444602,-159.6574305,0.01,"Kauai","2018_KA_1806307"," ","21.96444602N","159.65743047W",259
"919",2005-07-04,21.9642048,-159.6569824,0.1,"Kauai","KA62","Kauai County","21.96420480N","159.65698240W",260
"920",2020-06-12,21.97276419,-159.656656,0.01,"Kauai","2020_KA_2002679"," ","21.97276419N","159.65665604W",261
"921",2005-05-28,21.9634075,-159.6565857,0.1,"Kauai","KA63","Kauai County","21.96340750N","159.65658570W",262
"922",2006-12-30,21.96702,-159.6564026,0.5,"Kauai","XX119","DOFAW","21.96702000N","159.65640260W",263
"923",2010-07-10,21.9488602,-159.6562958,1,"Kauai","KA400","Kauai County","21.94886020N","159.65629580W",264
"924",2008-06-05,21.9752674,-159.6560059,0.2,"Kauai","KA401","Kauai County","21.97526740N","159.65600590W",265
"925",2010-07-09,21.9482784,-159.6559906,4,"Kauai","KA403","Kauai County","21.94827840N","159.65599060W",266
"926",2010-07-10,21.9482784,-159.6559906,0.01,"Kauai","KA402","Kauai County","21.94827840N","159.65599060W",267
"927",2006-06-09,22.1292534,-159.6543121,0.2,"Kauai","KA64","DOFAW","22.12925340N","159.65431210W",268
"928",2008-06-07,21.9673672,-159.6541595,4,"Kauai","KA404","Kauai County","21.96736720N","159.65415950W",269
"929",2011-05-26,21.9671421,-159.6539459,1,"Kauai","KA405","Kauai County","21.96714210N","159.65394590W",270
"930",2008-06-01,21.9699306,-159.6513824,1.5,"Kauai","KA406","Kauai County","21.96993060N","159.65138240W",271
"931",2000-03-12,22.1259899,-159.6504669,0.1,"Kauai","XX58","DOFAW","22.12598990N","159.65046690W",272
"932",2012-08-12,21.950025,-159.6501616,0.01,"Kauai","2012_KA_1203386"," ","21.95002500N","159.65016155W",273
"933",2015-04-02,21.95000733,-159.6501571,0.01,"Kauai","2015_KA_1501591"," ","21.95000733N","159.65015708W",274
"934",2015-01-10,21.95000622,-159.6501569,0.01,"Kauai","2015_KA_1500205"," ","21.95000622N","159.65015694W",275
"935",2016-12-30,21.95001983,-159.6501476,0.02,"Kauai","2016_KA_1605964"," ","21.95001983N","159.65014761W",278
"936",2017-09-17,22.06008058,-159.6501464,0.01,"Kauai","2017_KA_1704707"," ","22.06008058N","159.65014639W",279
"937",2012-06-10,22.10015478,-159.6501441,0.1,"Kauai","2012_KA_1202456"," ","22.10015478N","159.65014411W",280
"938",2013-07-31,21.95000806,-159.6501423,0.01,"Kauai","2013_KA_1303352"," ","21.95000806N","159.65014230W",281
"939",2015-07-19,22.06004928,-159.6501173,0.01,"Kauai","2015_KA_1503363"," ","22.06004928N","159.65011728W",283
"940",2018-11-05,21.95580912,-159.3576528,0.1,"Kauai","2018_KA_1805415"," ","21.95580912N","159.35765280W",1099
"941",2017-04-12,21.96000389,-159.6500924,0.01,"Kauai","2017_KA_1701849"," ","21.96000389N","159.65009236W",284
"942",2007-08-18,22.1166992,-159.6500854,0.5,"Kauai","XX133","DOFAW","22.11669920N","159.65008540W",285
"943",2007-06-15,21.9385052,-159.648941,5,"Kauai","KA407","Kauai County","21.93850520N","159.64894100W",286
"944",2007-09-09,21.9332256,-159.6475372,0.1,"Kauai","KA408","Kauai County","21.93322560N","159.64753720W",287
"945",2019-12-30,21.971724,-159.647261,0.01,"Kauai","2019_KA_1906791"," ","21.97172400N","159.64726100W",288
"946",2002-06-16,22.1094704,-159.6467133,0.5,"Kauai","XX89","DOFAW","22.10947040N","159.64671330W",289
"947",2019-04-27,21.972367,-159.646209,0.25,"Kauai","2019_KA_1902172"," ","21.97236700N","159.64620900W",290
"948",2010-04-23,21.9322815,-159.645462,0.1,"Kauai","KA410","Kauai County","21.93228150N","159.64546200W",291
"949",2017-05-14,21.967756,-159.645178,60,"Kauai","2017_KA_1702441"," ","21.96775600N","159.64517800W",292
"950",2019-12-20,22.070096,-159.644802,0.01,"Kauai","2019_KA_1906556"," ","22.07009600N","159.64480200W",293
"951",2009-06-18,21.9279423,-159.6446991,0.1,"Kauai","KA411","Kauai County","21.92794230N","159.64469910W",294
"952",2017-09-22,21.96004089,-159.6301473,2,"Kauai","2017_KA_1704820"," ","21.96004089N","159.63014730W",296
"953",2012-06-24,22.13008592,-159.6301324,0.01,"Kauai","2012_KA_1202687"," ","22.13008592N","159.63013236W",297
"954",2012-05-27,21.93001214,-159.6301278,2,"Kauai","2012_KA_1202258"," ","21.93001214N","159.63012783W",298
"955",2017-09-22,22.16006853,-159.63012,0.25,"Kauai","2017_KA_1704814"," ","22.16006853N","159.63012000W",299
"956",2009-10-03,21.916523,-159.6298065,1,"Kauai","KA412","DOFAW","21.91652300N","159.62980650W",300
"957",2014-02-26,21.933839,-159.629717,0.01,"Kauai","2014_KA_1400972"," ","21.93383900N","159.62971700W",301
"958",2008-06-22,21.9191799,-159.6221466,1,"Kauai","KA413","Kauai County","21.91917990N","159.62214660W",302
"959",2020-08-03,21.907955,-159.62157,15,"Kauai","2020_KA_2003474"," ","21.90795500N","159.62157000W",303
"960",2008-07-03,21.9164162,-159.6207886,1,"Kauai","KA414","Kauai County","21.91641620N","159.62078860W",304
"961",2015-05-30,21.930578,-159.61264,0.01,"Kauai","2015_KA_1502537"," ","21.93057800N","159.61264000W",305
"962",2014-08-02,21.93076,-159.612637,1,"Kauai","2014_KA_1403417"," ","21.93076000N","159.61263700W",306
"963",2016-05-10,21.93076,-159.612637,0.01,"Kauai","2016_KA_1602127"," ","21.93076000N","159.61263700W",307
"964",2015-05-31,21.930578,-159.612637,5,"Kauai","2015_KA_1502565"," ","21.93057800N","159.61263700W",308
"965",2013-08-02,21.930578,-159.612637,0.5,"Kauai","2013_KA_1303398"," ","21.93057800N","159.61263700W",309
"966",2013-09-14,21.930578,-159.612637,0.1,"Kauai","2013_KA_1304085"," ","21.93057800N","159.61263700W",310
"967",2013-09-05,21.930578,-159.612637,0.01,"Kauai","2013_KA_1303950"," ","21.93057800N","159.61263700W",311
"968",2015-06-29,21.930578,-159.612637,0.01,"Kauai","2015_KA_1503008"," ","21.93057800N","159.61263700W",312
"969",2012-09-27,21.93076,-159.612508,10,"Kauai","2012_KA_1204026"," ","21.93076000N","159.61250800W",313
"970",2015-03-05,21.93076,-159.612508,0.5,"Kauai","2015_KA_1501145"," ","21.93076000N","159.61250800W",314
"971",2013-09-15,21.93076,-159.612508,0.12,"Kauai","2013_KA_1304104"," ","21.93076000N","159.61250800W",315
"972",2015-03-13,21.93076,-159.612508,0.1,"Kauai","2015_KA_1501261"," ","21.93076000N","159.61250800W",316
"973",2013-09-15,21.93076,-159.612508,0.01,"Kauai","2013_KA_1304114"," ","21.93076000N","159.61250800W",317
"974",2014-01-07,21.93076,-159.612508,0.01,"Kauai","2014_KA_1400121"," ","21.93076000N","159.61250800W",318
"975",2014-03-15,21.93076,-159.612508,0.01,"Kauai","2014_KA_1401261"," ","21.93076000N","159.61250800W",319
"976",2014-04-06,21.93076,-159.612508,0.01,"Kauai","2014_KA_1401592"," ","21.93076000N","159.61250800W",320
"977",2015-03-04,21.93076,-159.612508,0.01,"Kauai","2015_KA_1501129"," ","21.93076000N","159.61250800W",321
"978",2015-10-15,21.93076,-159.612508,0.01,"Kauai","2015_KA_1504753"," ","21.93076000N","159.61250800W",322
"979",2016-06-17,21.93076,-159.612508,0.01,"Kauai","2016_KA_1602726"," ","21.93076000N","159.61250800W",323
"980",2016-09-21,21.93076,-159.612508,0.01,"Kauai","2016_KA_1604320"," ","21.93076000N","159.61250800W",324
"981",2012-09-26,21.930749,-159.612207,0.25,"Kauai","2012_KA_1204023"," ","21.93074900N","159.61220700W",325
"982",2012-08-20,21.930749,-159.612207,0.01,"Kauai","2012_KA_1203517"," ","21.93074900N","159.61220700W",326
"983",2007-07-16,21.9573917,-159.6120911,30,"Kauai","KA416","DOFAW","21.95739170N","159.61209110W",327
"984",2005-08-25,21.9014912,-159.6102753,2,"Kauai","KA66","Kauai County","21.90149120N","159.61027530W",328
"985",2014-09-09,21.915429,-159.60974,0.1,"Kauai","2014_KA_1403998"," ","21.91542900N","159.60974000W",331
"986",2010-07-24,21.9010639,-159.6095734,0.01,"Kauai","KA418","Kauai County","21.90106390N","159.60957340W",332
"987",2010-10-15,21.8939037,-159.6054688,0.01,"Kauai","KA421","Kauai County","21.89390370N","159.60546880W",333
"988",2006-07-18,21.8937302,-159.6045837,1,"Kauai","KA67","Kauai County","21.89373020N","159.60458370W",334
"989",2017-11-16,21.89288,-159.60453,0.01,"Kauai","2017_KA_1705772"," ","21.89288000N","159.60453000W",335
"990",2020-02-18,21.894198,-159.60448,0.5,"Kauai","2020_KA_2000954"," ","21.89419800N","159.60448000W",336
"991",2019-02-17,21.895678,-159.604291,4,"Kauai","2019_KA_1900909"," ","21.89567800N","159.60429100W",337
"992",2014-08-07,21.90068628,-159.604189,0.1,"Kauai","2014_KA_1403492"," ","21.90068628N","159.60418899W",338
"993",2011-09-24,21.8930359,-159.6038055,0.01,"Kauai","KA422","Kauai County","21.89303590N","159.60380550W",339
"994",2018-05-10,21.89277,-159.603759,0.25,"Kauai","2018_KA_1802335"," ","21.89277000N","159.60375900W",340
"995",2014-08-03,21.9006365,-159.6035882,0.1,"Kauai","2014_KA_1403424"," ","21.90063650N","159.60358818W",341
"996",2019-04-23,21.893246,-159.603545,0.18,"Kauai","2019_KA_1902104"," ","21.89324600N","159.60354500W",342
"997",2008-08-10,21.8968315,-159.6033173,0.1,"Kauai","KA425","Kauai County","21.89683150N","159.60331730W",343
"998",2019-01-25,21.892493,-159.603008,0.01,"Kauai","2019_KA_1900488"," ","21.89249300N","159.60300800W",344
"999",2019-03-20,21.895185,-159.602851,2,"Kauai","2019_KA_1901471"," ","21.89518500N","159.60285100W",345
"1000",2019-01-28,21.900827,-159.602819,0.15,"Kauai","2019_KA_1900537"," ","21.90082700N","159.60281900W",346
"1001",2015-01-29,21.90088,-159.601779,0.1,"Kauai","2015_KA_1500538"," ","21.90088000N","159.60177900W",347
"1002",2015-04-22,21.900848,-159.601758,0.01,"Kauai","2015_KA_1501920"," ","21.90084800N","159.60175800W",348
"1003",2010-08-14,21.9007702,-159.6015625,0.25,"Kauai","KA426","Kauai County","21.90077020N","159.60156250W",349
"1004",2019-05-27,21.893761,-159.601509,0.5,"Kauai","2019_KA_1902749"," ","21.89376100N","159.60150900W",350
"1005",2005-06-23,21.902277,-159.601181,1,"Kauai","KA65","Kauai County","21.90227700N","159.60118100W",351
"1006",2011-11-24,21.9022713,-159.6011658,0.01,"Kauai","KA427","Kauai County","21.90227130N","159.60116580W",352
"1007",2010-01-16,21.893755,-159.6008759,0.1,"Kauai","KA428","Kauai County","21.89375500N","159.60087590W",353
"1008",2020-01-15,21.893883,-159.60045,0.3,"Kauai","2020_KA_2000293"," ","21.89388300N","159.60045000W",354
"1009",2013-01-01,21.89861988,-159.6001785,0.01,"Kauai","2013_KA_1300030"," ","21.89861988N","159.60017846W",355
"1010",2017-04-04,21.90014981,-159.6001502,0.01,"Kauai","2017_KA_1701701"," ","21.90014981N","159.60015019W",356
"1011",2017-12-30,21.91000056,-159.6001332,0.1,"Kauai","2017_KA_1706593"," ","21.91000056N","159.60013322W",357
"1012",2018-07-06,21.89839798,-159.6001311,3,"Kauai","2018_KA_1803263"," ","21.89839798N","159.60013112W",358
"1013",2019-05-10,21.89839798,-159.6001311,0.1,"Kauai","2019_KA_1902414"," ","21.89839798N","159.60013112W",359
"1014",2020-02-22,21.89401,-159.600124,0.05,"Kauai","2020_KA_2001043"," ","21.89401000N","159.60012400W",360
"1015",2013-09-04,21.90013042,-159.6001189,0.1,"Kauai","2013_KA_1303942"," ","21.90013042N","159.60011889W",361
"1016",2011-12-31,21.90002781,-159.6001182,0.01,"Kauai","2012_KA_1200005"," ","21.90002781N","159.60011819W",362
"1017",2015-06-24,21.91013033,-159.6000786,2,"Kauai","2015_KA_1502940"," ","21.91013033N","159.60007858W",363
"1018",2010-01-16,21.8934002,-159.5999146,0.01,"Kauai","KA429","Kauai County","21.89340020N","159.59991460W",371
"1019",2020-09-10,21.900309,-159.599908,5,"Kauai","2020_KA_2004045"," ","21.90030900N","159.59990800W",372
"1020",2020-09-10,21.900309,-159.599908,0.01,"Kauai","2020_KA_2004052"," ","21.90030900N","159.59990800W",373
"1021",2013-07-19,21.89396,-159.599612,0.25,"Kauai","2013_KA_1303189"," ","21.89396000N","159.59961200W",374
"1022",2017-08-31,21.89453,-159.5993,0.02,"Kauai","2017_KA_1704434"," ","21.89453000N","159.59930000W",375
"1023",2019-09-12,21.894235,-159.599118,0.01,"Kauai","2019_KA_1904830"," ","21.89423500N","159.59911800W",376
"1024",2006-12-30,21.8998165,-159.5988159,0.1,"Kauai","KA71","Kauai County","21.89981650N","159.59881590W",377
"1025",2007-11-05,21.9046535,-159.5986938,1,"Kauai","KA72","Kauai County","21.90465350N","159.59869380W",378
"1026",2006-01-13,21.9000721,-159.5985565,0.1,"Kauai","KA73","Kauai County","21.90007210N","159.59855650W",379
"1027",2010-03-09,21.9003944,-159.5985107,2,"Kauai","KA434","Kauai County","21.90039440N","159.59851070W",380
"1028",2016-05-27,21.902854,-159.597702,0.01,"Kauai","2016_KA_1602418"," ","21.90285400N","159.59770200W",381
"1029",2019-04-10,21.901777,-159.597488,0.15,"Kauai","2019_KA_1901868"," ","21.90177700N","159.59748800W",383
"1030",2011-12-30,21.9037666,-159.5959015,0.01,"Kauai","KA435","Kauai County","21.90376660N","159.59590150W",386
"1031",2019-03-15,21.903785,-159.595376,0.1,"Kauai","2019_KA_1901391"," ","21.90378500N","159.59537600W",387
"1032",2018-11-27,21.90387,-159.595346,0.1,"Kauai","2018_KA_1805781"," ","21.90387000N","159.59534600W",388
"1033",2018-05-30,21.903891,-159.594817,0.01,"Kauai","2018_KA_1802637"," ","21.90389100N","159.59481700W",389
"1034",2007-06-22,21.9047146,-159.5941772,1,"Kauai","KA75","Kauai County","21.90471460N","159.59417720W",390
"1035",2020-09-04,21.910658,-159.593702,0.05,"Kauai","2020_KA_2003937"," ","21.91065800N","159.59370200W",391
"1036",2015-09-19,21.905816,-159.593346,0.01,"Kauai","2015_KA_1504387"," ","21.90581600N","159.59334600W",392
"1037",2007-03-30,21.926939,-159.5920258,1,"Kauai","KA76","Kauai County","21.92693900N","159.59202580W",393
"1038",2007-05-11,21.9128723,-159.5914764,0.1,"Kauai","KA78","Kauai County","21.91287230N","159.59147640W",394
"1039",2019-12-30,21.917157,-159.591189,0.1,"Kauai","2019_KA_1906784"," ","21.91715700N","159.59118900W",395
"1040",2001-10-21,22.09095,-159.590332,2,"Kauai","XX85","DOFAW","22.09095000N","159.59033200W",396
"1041",2018-09-08,21.910892,-159.589958,0.01,"Kauai","2018_KA_1804454"," ","21.91089200N","159.58995800W",397
"1042",2010-04-13,21.9097519,-159.5896149,0.01,"Kauai","KA79","Kauai County","21.90975190N","159.58961490W",398
"1043",2007-02-09,21.9107304,-159.5894165,0.1,"Kauai","KA80","Kauai County","21.91073040N","159.58941650W",399
"1044",2017-01-04,21.92179088,-159.5892432,0.5,"Kauai","2017_KA_1700102"," ","21.92179088N","159.58924315W",400
"1045",2007-10-08,21.9242783,-159.5891571,0.1,"Kauai","KA81","Kauai County","21.92427830N","159.58915710W",401
"1046",2016-06-05,21.9139906,-159.5889642,0.01,"Kauai","2016_KA_1602531"," ","21.91399060N","159.58896416W",403
"1047",2019-02-03,21.914528,-159.588773,0.01,"Kauai","2019_KA_1900620"," ","21.91452800N","159.58877300W",404
"1048",2012-10-30,21.92456296,-159.5887144,15,"Kauai","2012_KA_1204489"," ","21.92456296N","159.58871436W",405
"1049",2011-07-30,21.9157963,-159.5883942,0.2,"Kauai","KA437","Kauai County","21.91579630N","159.58839420W",406
"1050",2008-08-16,22.2091007,-159.5857849,50,"Kauai","KA439","DOFAW","22.20910070N","159.58578490W",407
"1051",2016-11-05,21.905558,-159.585557,0.01,"Kauai","2016_KA_1605047"," ","21.90555800N","159.58555700W",408
"1052",2011-07-24,21.9163647,-159.5855408,0.12,"Kauai","KA440","Kauai County","21.91636470N","159.58554080W",409
"1053",2014-08-16,21.89949186,-159.585392,0.1,"Kauai","2014_KA_1403622"," ","21.89949186N","159.58539201W",410
"1054",2014-06-16,21.91299446,-159.5853852,0.01,"Kauai","2014_KA_1402671"," ","21.91299446N","159.58538525W",411
"1055",2016-10-17,21.915193,-159.585364,0.1,"Kauai","2016_KA_1604742"," ","21.91519300N","159.58536400W",412
"1056",2007-08-01,21.906044,-159.5853577,0.1,"Kauai","KA68","Kauai County","21.90604400N","159.58535770W",413
"1057",2005-12-30,21.9111824,-159.5852509,0.1,"Kauai","KA69","Kauai County","21.91118240N","159.58525090W",414
"1058",2005-11-12,21.9139366,-159.5850525,0.1,"Kauai","KA70","Kauai County","21.91393660N","159.58505250W",415
"1059",2013-10-01,21.89896,-159.584935,0.5,"Kauai","2013_KA_1304355"," ","21.89896000N","159.58493500W",416
"1060",2005-12-01,22.2196674,-159.5849152,0.1,"Kauai","KA74","Kauai County","22.21966740N","159.58491520W",417
"1061",2015-11-03,21.913809,-159.584613,0.01,"Kauai","2015_KA_1505066"," ","21.91380900N","159.58461300W",418
"1062",2013-09-22,21.898531,-159.584484,0.01,"Kauai","2013_KA_1304206"," ","21.89853100N","159.58448400W",419
"1063",2005-11-16,21.9125175,-159.5843506,0.1,"Kauai","KA77","Kauai County","21.91251750N","159.58435060W",420
"1064",2015-12-13,21.91472477,-159.5839739,0.01,"Kauai","2015_KA_1505725"," ","21.91472477N","159.58397390W",421
"1065",2019-05-30,21.91472477,-159.5839739,0.01,"Kauai","2019_KA_1902804"," ","21.91472477N","159.58397390W",422
"1066",2018-08-01,21.897533,-159.583952,0.1,"Kauai","2018_KA_1803757"," ","21.89753300N","159.58395200W",423
"1067",2009-07-30,21.8981686,-159.5839081,0.1,"Kauai","KA441","Kauai County","21.89816860N","159.58390810W",424
"1068",2008-11-05,21.9121113,-159.5835114,0.1,"Kauai","KA443","Kauai County","21.91211130N","159.58351140W",425
"1069",2019-07-06,21.909698,-159.5834609,0.1,"Kauai","2019_KA_1903497"," ","21.90969800N","159.58346089W",426
"1070",2016-04-30,21.909698,-159.5834609,0.01,"Kauai","2016_KA_1601980"," ","21.90969800N","159.58346089W",427
"1071",2006-06-29,21.8969898,-159.5832214,0.2,"Kauai","KA82","Kauai County","21.89698980N","159.58322140W",428
"1072",2018-08-07,21.896759,-159.583143,0.1,"Kauai","2018_KA_1803869"," ","21.89675900N","159.58314300W",429
"1073",2019-01-26,21.896744,-159.583098,0.01,"Kauai","2019_KA_1900507"," ","21.89674400N","159.58309800W",430
"1074",2010-07-03,21.8965397,-159.5830078,0.01,"Kauai","KA444","Kauai County","21.89653970N","159.58300780W",431
"1075",2018-11-10,21.896905,-159.582916,0.1,"Kauai","2018_KA_1805502"," ","21.89690500N","159.58291600W",432
"1076",2019-03-21,21.896607,-159.582559,1,"Kauai","2019_KA_1901491"," ","21.89660700N","159.58255900W",433
"1077",2015-04-09,21.91835417,-159.5818646,0.01,"Kauai","2015_KA_1501723"," ","21.91835417N","159.58186462W",434
"1078",2017-12-31,21.91153018,-159.5816569,0,"Kauai","2018_KA_1800010"," ","21.91153018N","159.58165695W",435
"1079",2010-12-14,21.9069118,-159.5808411,0.01,"Kauai","KA446","Kauai County","21.90691180N","159.58084110W",436
